For M5|Adr   197|KD1     N031      23.0 C  1   1|Rb        1.58351 m   |HD         19.395 m   |                      | 
For M5|Adr   198|KD1     N032      23.0 C  1   1|Rf        1.58689 m   |HD         19.261 m   |                      | 
For M5|Adr   199|KD1     N032      23.0 C      1|                      |                      |Z        91.30294 m   | 
For M5|Adr   200|KD1     N032##### 23.0 C  1   1|Rb        1.16247 m   |HD         49.594 m   |                      | 
For M5|Adr   201|KD1     S006##### 23.0 C  1   1|Rf        2.12463 m   |HD         47.829 m   |                      | 
For M5|Adr   202|TO  Station repeated          1|                      |                      |                      | 
For M5|Adr   203|KD1     N032      23.0 C  1   1|Rb        1.22857 m   |HD         48.815 m   |                      | 
For M5|Adr   204|KD1     S006      23.0 C  1   1|Rf        2.19085 m   |HD         48.716 m   |                      | 
For M5|Adr   205|KD1     S006      23.0 C  1   1|Rf        2.19082 m   |HD         48.718 m   |                      | 
For M5|Adr   206|KD1     N032      23.0 C  1   1|Rb        1.22858 m   |HD         48.800 m   |                      | 
For M5|Adr   207|KD1     S006      23.0 C      1|                      |                      |Z        90.34068 m   | 
For M5|Adr   208|KD1     S005      22.0 C  1   1|Rf        1.85633 m   |HD         35.293 m   |                      | 
For M5|Adr   209|KD1     S006      22.0 C  1   1|Rb        1.53206 m   |HD         35.280 m   |                      | 
For M5|Adr   210|KD1     S006      22.0 C  1   1|Rb        1.53212 m   |HD         35.268 m   |                      | 
For M5|Adr   211|KD1     S005      22.0 C  1   1|Rf        1.85628 m   |HD         35.277 m   |                      | 
For M5|Adr   212|KD1     S005      22.0 C      1|                      |                      |Z        90.01646 m   | 
For M5|Adr   213|KD1     S005      22.0 C  1   1|Rb        1.85639 m   |HD         17.165 m   |                      | 
For M5|Adr   214|KD1     S003      22.0 C  1   1|Rf        1.75707 m   |HD         17.470 m   |                      | 
For M5|Adr   215|KD1     S003      22.0 C  1   1|Rf        1.75712 m   |HD         17.470 m   |                      | 
For M5|Adr   216|KD1     S005      22.0 C  1   1|Rb        1.85644 m   |HD         17.162 m   |                      | 
For M5|Adr   217|KD1     S003      22.0 C      1|                      |                      |Z        90.11578 m   | 
For M5|Adr   218|KD1     R002      22.0 C  1   1|Rf        1.56848 m   |HD         14.306 m   |                      | 
For M5|Adr   219|KD1     S003      22.0 C  1   1|Rb        1.68447 m   |HD         14.037 m   |                      | 
For M5|Adr   220|KD1     S003      22.0 C  1   1|Rb        1.68445 m   |HD         14.035 m   |                      | 
For M5|Adr   221|KD1     R002      22.0 C  1   1|Rf        1.56859 m   |HD         14.309 m   |                      | 
For M5|Adr   222|KD1     R002      22.0 C      1|                      |                      |Z        90.23171 m   | 
For M5|Adr   223|KD1     R002      22.0 C  1   1|Rb        1.95301 m   |HD         18.987 m   |                      | 
For M5|Adr   224|KD1     S004      22.0 C  1   1|Rf        1.78391 m   |HD         18.928 m   |                      | 
For M5|Adr   225|KD1     S004      22.0 C  1   1|Rf        1.78390 m   |HD         18.929 m   |                      | 
For M5|Adr   226|KD1     R002      22.0 C  1   1|Rb        1.95316 m   |HD         18.965 m   |                      | 
For M5|Adr   227|KD1     S004      22.0 C      1|                      |                      |Z        90.40089 m   | 
For M5|Adr   228|KD1     B001      22.0 C  1   1|Rf        1.73552 m   |HD         18.945 m   |                      | 
For M5|Adr   229|KD1     S004      22.0 C  1   1|Rb        1.26273 m   |HD         18.862 m   |                      | 
For M5|Adr   230|KD1     S004      22.0 C  1   1|Rb        1.26264 m   |HD         18.857 m   |                      | 
For M5|Adr   231|KD1     B001      22.0 C  1   1|Rf        1.73570 m   |HD         18.955 m   |                      | 
For M5|Adr   232|KD1     B001      22.0 C      1|                      |                      |Z        89.92796 m   | 
For M5|Adr   233|KD1     B001                  1|Sh       -0.00004 m   |dz        0.00004 m   |Z        89.92800 m   | 
For M5|Adr   234|KD2     B001       42         1|Db         918.88 m   |Df         920.85 m   |Z        89.92796 m   | 
For M5|Adr   235|TO  End-Line                  1|                      |                      |                      | 
For M5|Adr   236|TO  Start-Line      aBFFB     2|                      |                      |                      | 
For M5|Adr   237|KD1     B001                  2|                      |                      |Z        89.92800 m   | 
For M5|Adr   238|KD1     B001      21.0 C  1   2|Rb        1.73489 m   |HD         18.927 m   |                      | 
For M5|Adr   239|KD1     S004      21.0 C  1   2|Rf        1.26211 m   |HD         18.886 m   |                      | 
For M5|Adr   240|KD1     S004      21.0 C  1   2|Rf        1.26204 m   |HD         18.884 m   |                      | 
For M5|Adr   241|KD1     B001      21.0 C  1   2|Rb        1.73487 m   |HD         18.929 m   |                      | 
For M5|Adr   242|KD1     S004      21.0 C      2|                      |                      |Z        90.40081 m   | 
For M5|Adr   243|KD1     R002      21.0 C  1   2|Rf        1.94939 m   |HD         18.946 m   |                      | 
For M5|Adr   244|KD1     S004      21.0 C  1   2|Rb        1.78041 m   |HD         18.974 m   |                      | 
For M5|Adr   245|KD1     S004      21.0 C  1   2|Rb        1.78049 m   |HD         18.963 m   |                      | 
For M5|Adr   246|KD1     R002      21.0 C  1   2|Rf        1.94940 m   |HD         18.949 m   |                      | 
For M5|Adr   247|KD1     R002      21.0 C      2|                      |                      |Z        90.23186 m   | 
For M5|Adr   248|KD1     R002      21.0 C  1   2|Rb        1.54594 m   |HD         14.284 m   |                      | 
For M5|Adr   249|KD1     R003      21.0 C  1   2|Rf        1.66198 m   |HD         14.078 m   |                      | 
For M5|Adr   250|KD1     R003      21.0 C  1   2|Rf        1.66191 m   |HD         14.078 m   |                      | 
For M5|Adr   251|KD1     R002      21.0 C  1   2|Rb        1.54580 m   |HD         14.284 m   |                      | 
For M5|Adr   252|KD1     R003      21.0 C      2|                      |                      |Z        90.11578 m   | 
For M5|Adr   253|KD1     S005      21.0 C  1   2|Rf        1.86887 m   |HD         17.151 m   |                      | 
For M5|Adr   254|KD1     R003      21.0 C  1   2|Rb        1.76998 m   |HD         17.463 m   |                      | 
